id,portfolio,label
1,1,Phoenix
2,2,Performance Management
3,2,Profile Management
4,2,Workforce Administration
5,2,eProfile and Management Desktop
6,2,Absence Management
7,2,eDevelopment
8,2,Position Management
9,2,Succession Planning
10,2,Career Planning
11,2,Health and Safety
12,2,Enterprise Learning
13,2,Labour Administration
14,1,Pay Centre
15,1,Standard Payment System
16,3,Compensation
17,3,Financial Expenditure Management
18,3,Material Management
19,4,Meta Data
20,4,Enterprise E-mail System
21,4,Digital Document Repository
22,4,National Project Management System
23,4,IM Service Desk
24,5,Reporting Systems
25,5,Employee
26,5,Management
27,1,Trusted Sources
28,1,Finance HR Interactions
29,1,Penfax
